code,name
All,All Departments
AFR,Africana Studies
AMST,American Studies
ANTH,Anthropology
ART,Art
ASTR,Astronomy
BIOC,Biochemistry
BISC,Biological Sciences
CHEM,Chemistry
CAMS,Cinema and Media Studies
CLST,Classical Studies
CLSC,Cognitive and Linguistic Sci
CPLT,Comparative Literature
CS,Computer Science
EALC,East Asian Languages and Cult
ECON,Economics
EDUC,Education
ENG,English
ES,Environmental Studies
EXTD,Extradepartmental
FREN,French
GEOS,Geosciences
GER,German
HIST,History
ITST,Italian Studies
JWST,Jewish Studies
MATH,Mathematics
MAS,Media Arts & Sciences
MES,Middle Eastern Studies
MUS,Music
NEUR,Neuroscience
PEAC,Peace and Justice Studies
PHIL,Philosophy
PHYS,Physics
POLS,Political Science
PSYC,Psychology
QR,Quantitative Reasoning
REL,Religion
RUSS,Russian
SOC,Sociology
SAS,South Asia Studies
SPAN,Spanish
SUST,Sustainability
THST,Theatre Studies
WGST,Women's and Gender Studies
WRIT,Writing
